Date,Challenge Name,Description,Member 1,Member 2 (optional),Member 1 website,Member 2 website
11-01-2025,Points,"Challenge Classic: Map with point data (e.g., individual locations, points of interest, clusters). Focus on effective symbolization and density visualization.",Gabriel Agostini,,gsagostini.github.io,
11-02-2025,Lines,"Challenge Classic: Map linear features (e.g., roads, rivers, migration paths, flow lines). Explore line thickness, color, and direction to convey information.",Atmika Pai,,,
11-03-2025,Polygons,"Challenge Classic: Create a map focused on area features (e.g., administrative regions, land use, boundaries). Use fills, patterns, and choropleth techniques.",Zhixuan Qi,,https://zhixuanqi.com,
11-04-2025,Data challenge: My Data,"Map something personal using your own dataset. Visualize GPS traces, your commute, or a unique, small dataset you created. (Need simple data? Try geojson.io)",Gabriel Agostini,Jennah Gosciak,gsagostini.github.io,https://jennahgosciak.github.io
11-05-2025,Earth,"Classical Elements ¼: Focus on the tangible and grounded. Map landforms, geology, soil, agriculture, elevation, or anything solid beneath your feet.",Jennah Gosciak,,https://jennahgosciak.github.io,
11-06-2025,Dimensions,"Map beyond 2D. Visualize data using 3D models, extrusions (building heights), depth, time (as a dimension), or an unconventional multivariate approach.",Atmika Pai,,,
11-07-2025,Accessibility,"Map how people (or things) get around. Visualize travel time, barriers, inclusive design, public transport reach, or create a map that is itself highly accessible to all users.",Gabriel Agostini,,gsagostini.github.io,
11-08-2025,Urban,"(World Urbanism Day) Map the built environment: dense street networks, highrises, urban sprawl, city infrastructure, or population density within a metro area.",Chae Won Lee,,,
11-09-2025,Analog,"Step away from the screen! Create your map using traditional methods (e.g., pen, pencil, paint, collage, physical models). Show the handmade process!",Anna Logan,,,
11-10-2025,Air,"Classical Elements 2/4: Focus on the atmosphere. Map weather, wind patterns, air traffic, pollution, or airborne transmission (e.g., pollen, sound).",Jessie Finocchiaro,,https://www.jessiefin.com,
11-11-2025,Minimal map,"Challenge yourself to use the fewest possible elements (color, line weight, labels) while keeping the map clear, useful, and informative.",Kenny Peng,,https://kennypeng.me,
11-12-2025,Map from 2125,How will maps look 100 years from now? Create a speculative map of what might be (or what you hope will be).,Zhixuan Qi,,https://zhixuanqi.com,
11-13-2025,10 minute map,"Start the timer! The maximum allowed time to design and produce this map is 10 minutes. Focus on speed, simplicity, and core communication.",Atmika Pai,,,
11-14-2025,Data challenge: OpenStreetMap,"Use OpenStreetMap (OSM) data as your primary source. Map your favorite feature, contribute back to the project, or style the map in an interesting way.",Atmika Pai,,,
11-15-2025,Fire,"Classical Elements ¾: Focus on energy, light, or transformation. Map heat, wildfires, energy consumption, population density at night, or volcanic activity.",Sylvia Imanirakiza,,https://simanirakiza.github.io,
11-16-2025,Cell,"Map something composed of small, discrete units or networks. This could be a geographic cell (raster, tessellation), a cellular network, or a biological/social process (e.g., disease spread).",Sean Hardesty Lewis,,https://seanhardestylewis.com,
11-17-2025,A new tool,"Challenge Classic: Experimentation is key! Create your map using a software, language, library, or technique you have never used before.",Jessica Spencer,,,
11-18-2025,Out of this world,"Map something non-Earth: a fantasy realm, an exoplanet, the Moon, Mars, deep space, or a purely conceptual place (e.g., a mental map).",Elijah Appelson,,,
11-19-2025,Projections,"(GIS Day) Focus entirely on map projections. Choose an unusual or misunderstood projection to highlight a theme, or visualize distortion. (See xkcd.com/977)",Jennah Gosciak,,https://jennahgosciak.github.io,
11-20-2025,Water,"Classical Elements 4/4: Focus on the fluid. Map hydrology, oceans, currents, water accessibility, sea level rise, precipitation, or anything aquatic.",Jessie Finocchiaro,,https://www.jessiefin.com,
11-21-2025,Icons,"Create a map where icons, pictograms, or custom symbols are the main focus. Use them to highlight points of interest or replace traditional cartographic features.",Gabriel Agostini,,gsagostini.github.io,
11-22-2025,Data challenge: Natural Earth,Use the Natural Earth dataset as your primary source for a visually stunning small-scale world or continent map.,Laura Greenstreet,,https://lauragreenstreet.github.io/about-me/,
11-23-2025,Process,"Show how you make a map. This could be a tutorial, a step-by-step graphic, a blog post, a video, or a screenshot of your work environment. Combine it with a map from another day!",Shuvom Sadhuka,,https://shuvom-s.github.io,
11-24-2025,Places and their names,"Focus on toponymy (place names). Experiment with font choices, label placement, typography, multiple languages, or the history and meaning behind a name.",Matt Franchi,,https://mfranchi.net,
11-25-2025,Hexagons,Challenge Classic: Use hexagonal binning (hexbins) or a hexagonal grid system to visualize your data. Celebrate this beautiful and efficient tessellation!,,,,
11-26-2025,Transport,"(World Sustainable Transport Day) Map mobility, traffic flow, public transit networks, logistics chains, or advocate for sustainable transport options.",Joe Hilleary,,,
11-27-2025,Boundaries,"Map lines of division—political, physical, ecological, or conceptual. Explore the meaning and impact of a dividing line, real or perceived.",Jennah Gosciak,,https://jennahgosciak.github.io,
11-28-2025,Black,"(Black Friday) Interpret the theme of Black. The map can be purely monochromatic, represent absence/darkness (e.g., light pollution), or relate to themes of consumption.",Sidhika Balachandar,,https://sidhikabalachandar.github.io,
11-29-2025,Raster,"Challenge Classic: Map using raster data. Focus on satellite imagery, elevation models (DEMs), land cover, or pixel-based art.",Anna Logan,,,
11-30-2025,Makeover,"Take a map you made during the month or an older piece and redesign it. Focus on improving the aesthetics, clarity, or data communication.",Atmika Pai,,,